"","Team","Game","Spread","Outcome","MIN","PTS","P2p","P3p","FTp","OREB","DREB","AST","TOV","STL","BLK","PF"
"1283","NOP",21900388,-11,"L",48,119,0.622222222222222,0.441860465116279,0.5,11,29,34,17,6,7,21
"1284","NOP",21900404,-7,"L",53,101,0.388059701492537,0.275,0.666666666666667,16,42,20,9,3,9,19
"1285","NOP",21900411,8,"W",48,107,0.452830188679245,0.424242424242424,0.80952380952381,11,44,23,19,6,4,19
"1286","NOP",21900429,-4,"L",48,102,0.508474576271186,0.264705882352941,0.652173913043478,13,35,23,18,8,5,19
"1287","NOP",21900452,8,"W",48,102,0.396551724137931,0.428571428571429,0.6875,13,42,23,13,6,6,19
"1288","NOP",21900459,12,"W",48,112,0.48936170212766,0.418604651162791,1,14,38,23,19,9,5,14
"1289","NOP",21900474,22,"W",48,120,0.490196078431373,0.428571428571429,0.8,11,38,25,13,9,2,18
"1290","NOP",21900488,15,"W",48,127,0.551724137931034,0.409090909090909,0.692307692307692,14,32,32,9,9,4,17
"1291","NOP",21900522,-10,"L",48,113,0.569230769230769,0.297297297297297,0.857142857142857,9,31,24,12,4,10,20
"1292","NOP",21900533,2,"W",48,117,0.523809523809524,0.355555555555556,0.757575757575758,9,35,28,15,11,3,25
"1293","NOP",21900544,-2,"L",48,126,0.523809523809524,0.387096774193548,0.8,13,35,23,6,4,5,20
"1294","NOP",21900560,15,"W",48,123,0.604651162790698,0.340909090909091,0.8125,12,38,31,15,7,8,16
"1295","NOP",21900569,12,"W",48,123,0.625,0.473684210526316,0.529411764705882,6,37,35,20,8,6,16
"1296","NOP",21900578,-35,"L",48,105,0.472727272727273,0.311111111111111,0.611111111111111,15,28,29,16,4,6,19
"1297","NOP",21900591,7,"W",53,117,0.441558441558442,0.346153846153846,0.814814814814815,17,44,23,19,6,5,19
"1298","NOP",21900616,6,"W",53,138,0.597014925373134,0.423076923076923,0.714285714285714,9,36,29,13,8,9,27
"1299","NOP",21900626,-3,"L",48,130,0.688888888888889,0.365853658536585,0.638888888888889,12,36,32,21,7,4,26
"1300","NOP",21900646,10,"W",48,126,0.525,0.4375,0.875,5,38,24,17,7,7,18
"1301","NOP",21900663,-4,"L",48,117,0.520833333333333,0.388888888888889,0.78125,8,33,26,14,6,3,21
"1302","NOP",21900676,-7,"L",48,106,0.472727272727273,0.444444444444444,0.6,12,33,24,17,8,7,17
"1303","NOP",21900691,15,"W",48,123,0.5,0.444444444444444,0.655172413793103,18,36,31,20,7,5,21
"1304","NOP",21900700,14,"W",48,125,0.62962962962963,0.382352941176471,0.75,7,34,29,18,9,11,16
"1305","NOP",21900723,28,"W",48,139,0.590163934426229,0.441176470588235,0.846153846153846,16,41,30,19,8,4,22
"1306","NOP",21900738,-8,"L",48,109,0.524590163934426,0.303030303030303,0.75,16,47,21,23,6,6,16
"1307","NOP",21900751,-12,"L",48,108,0.48,0.285714285714286,0.75,8,41,26,17,10,6,17
"1308","NOP",21900765,6,"W",48,125,0.673469387755102,0.421052631578947,0.578947368421053,9,36,38,21,12,7,20
"1309","NOP",21900780,7,"W",48,124,0.508771929824561,0.394736842105263,0.84,16,37,27,15,8,2,24
"1310","NOP",21900804,21,"W",48,138,0.603448275862069,0.411764705882353,0.8125,14,36,40,14,7,5,20
"1311","NOP",21900819,-5,"L",48,118,0.549019607843137,0.4,0.740740740740741,8,38,31,17,3,7,20
"1312","NOP",21900834,13,"W",48,128,0.54,0.529411764705882,0.606060606060606,9,37,36,19,8,3,23
"1313","NOP",21900847,14,"W",48,115,0.517857142857143,0.404761904761905,0.461538461538462,14,38,34,13,7,5,15
"1314","NOP",21900861,-9,"L",48,109,0.525423728813559,0.296296296296296,0.766666666666667,6,39,31,20,10,2,24
"1315","NOP",21900883,12,"W",48,116,0.6,0.391304347826087,0.733333333333333,12,37,36,17,12,8,17
"1316","NOP",21900900,-8,"L",48,114,0.523809523809524,0.21875,0.818181818181818,15,37,24,16,7,3,11
"1317","NOP",21900911,-5,"L",48,134,0.622950819672131,0.358974358974359,0.592592592592593,13,31,37,15,13,2,18
"1318","NOP",21900923,-4,"L",53,123,0.485294117647059,0.369565217391304,0.545454545454545,15,37,28,14,8,4,23
"1319","NOP",21900936,6,"W",48,110,0.452830188679245,0.368421052631579,0.714285714285714,15,38,28,17,7,6,25
"1320","NOP",21900947,13,"W",48,120,0.6,0.314285714285714,0.67741935483871,10,44,28,25,7,5,23
"1321","NOP",21901231,-2,"L",48,104,0.46031746031746,0.354838709677419,0.722222222222222,15,30,22,21,12,2,25
"1322","NOP",21901241,-23,"L",48,103,0.527272727272727,0.3,0.642857142857143,9,39,24,18,4,1,23
"1323","NOP",21901253,10,"W",48,109,0.490566037735849,0.379310344827586,0.615384615384615,8,41,25,15,7,1,20
"1324","NOP",21901268,-15,"L",48,125,0.6875,0.411764705882353,0.739130434782609,5,25,31,17,4,3,26
"1325","NOP",21901278,11,"W",48,118,0.566037735849057,0.342857142857143,0.846153846153846,11,34,25,20,7,8,19
"1326","NOP",21901287,-9,"L",48,113,0.454545454545455,0.4,0.772727272727273,16,32,30,20,5,5,26
