"","value","frequency","num","label"
"182",0,182,"recording 1",""
"183",0,183,"recording 1",""
"184",0,184,"recording 1",""
"185",0,185,"recording 1",""
"186",0,186,"recording 1",""
"187",0,187,"recording 1",""
"188",0,188,"recording 1",""
"189",0,189,"recording 1",""
"190",0,190,"recording 1",""
"191",0,191,"recording 1",""
"192",0,192,"recording 1",""
"193",0,193,"recording 1",""
"194",0,194,"recording 1",""
"195",0,195,"recording 1",""
"196",0,196,"recording 1",""
"197",0,197,"recording 1",""
"198",0,198,"recording 1",""
"199",0,199,"recording 1",""
"200",0,200,"recording 1",""
"201",0,201,"recording 1",""
"202",0,202,"recording 1",""
"203",0,203,"recording 1",""
"204",0,204,"recording 1",""
"205",0,205,"recording 1",""
"206",0,206,"recording 1",""
"207",0,207,"recording 1",""
"208",0,208,"recording 1",""
"209",0,209,"recording 1",""
"210",0,210,"recording 1",""
"211",0,211,"recording 1",""
"212",0,212,"recording 1",""
"213",0,213,"recording 1",""
"214",0,214,"recording 1",""
"215",0,215,"recording 1",""
"216",0,216,"recording 1",""
"217",0,217,"recording 1",""
"218",0,218,"recording 1",""
"219",0,219,"recording 1",""
"220",0,220,"recording 1",""
"221",0,221,"recording 1",""
"222",0,222,"recording 1",""
"223",0,223,"recording 1",""
"224",0,224,"recording 1",""
"225",0,225,"recording 1",""
"226",0,226,"recording 1",""
"227",0,227,"recording 1",""
"228",0,228,"recording 1",""
"229",0,229,"recording 1",""
"230",0,230,"recording 1",""
"231",0,231,"recording 1",""
"232",0,232,"recording 1",""
"233",0,233,"recording 1",""
"234",0,234,"recording 1",""
"235",0,235,"recording 1",""
"236",0,236,"recording 1",""
"237",0,237,"recording 1",""
"238",0,238,"recording 1",""
"239",0,239,"recording 1",""
"240",0,240,"recording 1",""
"241",0,241,"recording 1",""
"242",0,242,"recording 1",""
"243",0,243,"recording 1",""
"244",0,244,"recording 1",""
"245",0,245,"recording 1",""
"246",0,246,"recording 1",""
"247",0,247,"recording 1",""
"248",0,248,"recording 1",""
"249",0,249,"recording 1",""
"250",0,250,"recording 1",""
"251",0,251,"recording 1",""
"252",0,252,"recording 1",""
"253",0,253,"recording 1",""
"254",0,254,"recording 1",""
"255",0,255,"recording 1",""
"256",0,256,"recording 1",""
